Location,Date,Age,Length
BR,6/8/2001,1,90
BR,6/8/2001,1,107
BR,6/8/2001,1,98
BR,6/8/2001,1,96
BR,6/8/2001,1,87
BR,6/8/2001,1,94
BR,6/9/2001,1,97
BR,6/9/2001,1,97
BR,6/9/2001,1,89
BR,5/14/2001,2,114
BR,5/14/2001,2,113
BR,5/15/2001,2,112
BR,5/15/2001,2,120
BR,5/15/2001,2,115
BR,5/15/2001,2,135
BR,5/15/2001,2,108
BR,5/15/2001,2,107
BR,5/16/2001,2,113
BR,5/16/2001,2,126
BR,5/16/2001,2,117
BR,5/16/2001,2,131
BR,5/16/2001,2,125
BR,5/16/2001,2,110
BR,5/16/2001,2,113
BR,5/16/2001,2,112
BR,5/16/2001,2,110
BR,5/16/2001,2,127
BR,5/16/2001,2,124
BR,5/16/2001,2,111
BR,5/16/2001,2,117
BR,5/16/2001,2,119
BR,5/17/2001,2,111
BR,5/17/2001,2,107
BR,5/18/2001,2,125
BR,5/18/2001,2,118
BR,5/18/2001,2,110
BR,5/18/2001,2,112
BR,5/18/2001,2,112
BR,5/19/2001,2,116
BR,5/19/2001,2,116
BR,5/19/2001,2,116
BR,5/19/2001,2,120
BR,5/19/2001,2,111
BR,5/19/2001,2,111
BR,5/19/2001,2,103
BR,5/19/2001,2,115
BR,5/20/2001,2,101
BR,5/20/2001,2,120
BR,5/20/2001,2,120
BR,5/21/2001,2,113
BR,5/21/2001,2,118
BR,5/21/2001,2,108
BR,5/21/2001,2,115
BR,5/21/2001,2,116
BR,5/21/2001,2,116
BR,5/22/2001,2,97
BR,5/22/2001,2,113
BR,5/22/2001,2,102
BR,5/22/2001,2,111
BR,5/23/2001,2,118
BR,5/25/2001,2,112
BR,5/25/2001,2,116
BR,5/26/2001,2,111
BR,5/26/2001,2,116
BR,5/28/2001,2,108
BR,5/28/2001,2,128
BR,5/29/2001,2,116
BR,5/30/2001,2,117
BR,6/3/2001,2,104
BR,6/4/2001,2,121
BR,5/26/2002,1,78
BR,5/26/2002,1,63
BR,5/27/2002,1,86
BR,5/27/2002,1,103
BR,5/27/2002,1,92
BR,5/28/2002,1,95
BR,5/28/2002,1,85
BR,5/28/2002,1,85
BR,5/29/2002,1,93
BR,5/29/2002,1,97
BR,5/29/2002,1,84
BR,5/30/2002,1,108
BR,5/30/2002,1,101
BR,5/30/2002,1,93
BR,5/30/2002,1,92
BR,5/30/2002,1,93
BR,5/30/2002,1,84
BR,5/31/2002,1,95
BR,5/31/2002,1,99
BR,5/31/2002,1,84
BR,6/1/2002,1,91
BR,6/1/2002,1,85
BR,6/1/2002,1,91
BR,6/2/2002,1,87
BR,6/2/2002,1,93
BR,6/2/2002,1,102
BR,6/2/2002,1,114
BR,6/3/2002,1,87
BR,6/3/2002,1,92
BR,6/3/2002,1,107
BR,6/4/2002,1,83
BR,6/4/2002,1,91
BR,6/4/2002,1,104
BR,6/5/2002,1,86
BR,6/5/2002,1,89
BR,6/5/2002,1,96
BR,6/5/2002,1,95
BR,6/5/2002,1,105
BR,6/5/2002,1,106
BR,6/6/2002,1,93
BR,6/6/2002,1,87
BR,6/6/2002,1,98
BR,6/6/2002,1,101
BR,6/7/2002,1,93
BR,6/7/2002,1,97
BR,6/7/2002,1,100
BR,6/7/2002,1,105
BR,6/7/2002,1,100
BR,6/7/2002,1,98
BR,6/8/2002,1,100
BR,6/8/2002,1,102
BR,6/8/2002,1,105
BR,6/8/2002,1,110
BR,6/9/2002,1,91
BR,6/9/2002,1,91
BR,6/9/2002,1,97
BR,6/9/2002,1,100
BR,6/9/2002,1,104
BR,6/9/2002,1,102
BR,6/10/2002,1,98
BR,6/10/2002,1,104
BR,6/10/2002,1,99
BR,6/10/2002,1,96
BR,6/10/2002,1,99
BR,6/11/2002,1,92
BR,6/11/2002,1,92
BR,6/11/2002,1,99
BR,6/11/2002,1,100
BR,6/11/2002,1,106
BR,6/11/2002,1,101
BR,6/13/2002,1,93
BR,6/13/2002,1,96
BR,6/13/2002,1,99
BR,6/13/2002,1,94
BR,6/13/2002,1,100
BR,6/13/2002,1,100
BR,5/14/2002,1,77
BR,5/14/2002,1,76
BR,5/16/2002,1,74
BR,5/16/2002,1,66
BR,5/17/2002,1,68
BR,5/17/2002,1,60
BR,5/23/2002,1,100
BR,5/23/2002,1,99
BR,5/24/2002,1,110
BR,5/24/2002,1,99
BR,5/25/2002,1,112
BR,5/25/2002,1,118
BR,5/25/2002,1,110
BR,5/25/2002,1,95
BR,5/25/2002,1,91
BR,5/26/2002,1,66
BR,5/26/2002,1,116
BR,5/26/2002,1,88
BR,5/26/2002,1,95
BR,5/26/2002,1,111
BR,5/26/2002,1,84
BR,5/26/2002,1,107
BR,5/26/2002,1,99
BR,5/26/2002,1,96
BR,5/26/2002,2,135
BR,5/26/2002,2,109
BR,5/26/2002,2,115
BR,5/26/2002,2,115
BR,5/26/2002,2,115
BR,5/26/2002,2,115
BR,5/27/2002,2,105
BR,5/27/2002,2,114
BR,5/28/2002,2,115
BR,5/28/2002,2,110
BR,5/28/2002,2,107
BR,5/29/2002,2,110
